Item,Product_number,Multiplier_per_box,Recommended_qty_per_order,price
5 Ml Syringe,1595,1,1,13
10 Ml Syringe,1596,1,1,22
20 Ml Syringe,24237,1,1,0.23
50 Ml Syringe ,1600,1,1,0.5
Toumey Syringe ,23803,1,1,55
Double Medrad ,102083,1,1,250
Flex Syringe ,235939,1,1,250
Contrast Spike ,102463,1,1,48
Breeza,122974,1,1,91
Oral Omni 9Mg,232842,1,1,100
Oral Omni 12Mg,232843A,1,1,104
Readicat Berry,92423,1,1,56
Readicat Banananana,78956,1,1,56
Readicat Vanilla,119373,1,1,56
Readicat Mocha,119372,1,1,56
Cysto Tubing ,217077,1,1,2.55
Omnipaque 240Mg 50Ml ,174864,1,1,91
Omnipaque 350Mg 100Ml ,162069,1,1,168
Omnipaque 300Mg 100Ml ,1686,1,1,161
Visipaque ,97619,1,1,351
50Ml Saline (84),23080,84,3 Boxes 252 qty,1.75
100Ml Saline (64),23081,64,3 Boxes 192 qty,1.75
150Ml Saline,23074,1,1,
250Ml Saline,23075,1,1,1.75
500Ml Saline,23077,1,1,2
Sterile Saline Flush Syringe,109030,1,1,0.9
Saline Flush 10 Ml Syringe,64305,16,1,7.85
Lifepak Paper,104257,1,1,14
Odor Eliminator Lemon,222420,1,1,102
Odor Eliminator,222421,1,1,102
Adultpads,99239,1,1,18
Nasal Cannula ,250,1,1,0.5
Small Nasal Cannula ,195721,1,1,422
Infant Nasal Cannula ,60380,1,1,48.75
Ped O2 Mask,21409,1,1,60
Adult O2 Mask,24070,1,1,0.68
Green O2 Adapter,24280,1,1,0.25
Infant O2 Cannula ,60380,1,1,49
Non-Rebreather Peds,21394,1,1,1.2
Non-Rebreather Adults,81013,1,1,51
O2 Christmas Tree,1257,1,1,0.3
O2 Extension Tubing ,245068,1,1,0.4
O2 Sensor Peds,96212,1,1,315
Suction Canister ,40272,1,1,1.15
Suction Tubing 20Ft ,251418,1,1,14
Yankauer,20756,1,1,0.3
Ambu Bags,20744,1,1,6.5
Peds Ambu Bags ,22945,1,1,6.5
Infant Ambu Bags,185900,1,1,160
Orange Top Specimen Cont.,7003,1,1,322
Green Swab Tops ,252243,1,1,48
E-Swab,118901,1,1,0.65
Specimen Bags Small,37433,1,1,22
Specimen Bags Medium,20471,1,1,1.9
Specimen Bags Large,36611,1,1,2.9
Specimen Bags Xtra Large,37439,1,1,49
Telfa,24031,1,1,4.9
3-Way Stopcock ,3429,1,1,0.35
Embocube Green 2.5X100,224688,1,1,304
Embocube Green 2.5X50,228790,1,1,304
Torpedo 2.5X10,224689,1,1,330
Torpedo 5X10,224690,1,1,330
Surgifoam,24017,1,1,4.2
Red Medallion Syringe ,64921,1,1,49
Xeroform,20497,1,1,36
5Fr Dilator,16976,1,1,8
6Fr Dilator,20942,1,1,8
7Fr Dilator,39637,1,1,8
8Fr Dilator,12344,1,1,8
9Fr Dilator,16484,1,1,8
10fr Dilator,16815,1,1,8
12fr Dilator,16817,1,1,8
14Fr Dilator,16825,1,1,8
16Fr Dilator,62843,1,1,8
Apd 6Fr,233716,1,1,3
Apd 8Fr,233714,1,1,375
Apd 10Fr,233715,1,1,375
Apd 12Fr,233719,1,1,375
Apd 14Fr,233720,1,1,375
Apd 16Fr,233904,1,1,375
Biopatch,160784,1,1,56
Guide Wire J 150Cm,208092,1,1,120
